23/08/1975,,New York,,United States,1989 VO1 CHESTER
24/08/1975,Sarnia,Ontario,N7V,,1989 VO2 SKINNER
25/08/1975,Fergus,Ontario,N1M,,1989 VO2 HOOPS
31/08/1975,Mississauga,Ontario,L5L,,1989 VO1 DURA
13/09/1975,Agincourt,Ontario,M1S,,1989 VO2 JORDAN
17/09/1975,Mississauga,Ontario,L5H,,1990 VO1 BOOMER  1990 VO3 BINO  1989 VO3 TIGGER
17/09/1975,Mississauga,Ontario,L5L,,1990 VO3 CHESTER  1989 RA3 DOC
18/09/1975,Ingersoll,Ontario,N5C,,1990 VO1 SQUIRE  1989 RA2 GNORT
19/09/1975,Bolton,Ontario,L7E,,1989 VO3 HOOPS
24/09/1975,St. Catherines,Ontario,L2N,,1990 VO2 BOOMER
24/09/1975,Toronto,Ontario,M4J,,1997 SN1 SHAGGY  1997 SN2 SHAGGY  1997 SN3 SHAGGY  1996 SN1 SHAGGY  1996 SN2 SHAGGY  1996 SN3 SHAGGY  1995 SN1 MOUNTAINEERS  1995 SN2 MOUNTAINEERS  1995 SN3 MOUNTAINEERS  1994 SN3 MOUNTAINEERS  1992 SN3 MOUNTAINEERS
29/09/1975,Toronto,Ontario,M5A,,1989 VO2 TIGGER
02/10/1975,Erin,Ontario,N0B,,1991 VO3 STANG  1990 VO3 SHORTY
04/10/1975,Hamilton,Ontario,L9C,,1989 VO3 JORDAN
15/10/1975,,,,France,1989 VO2 POLO
22/10/1975,Ancaster,Ontario,L9G,,1990 VO3 CHESTER  1989 RA3 DOC
22/10/1975,Don Mills,Ontario,M3A,,1991 VO1 LOBY  1990 VO1 GUUMBAY  1989 RA1 ICEMAN
26/10/1975,Etobicoke,Ontario,M9W,,1990 VO2 HOLLYWOOD  1989 RA3 GNORT
29/10/1975,Barrie,Ontario,L4M,,1989 VO3 CHESTER
30/10/1975,Scarborough,Ontario,M1G,,1989 VO2 SKINNER
31/10/1975,Barrie,Ontario,L4N,,1989 RA2 ICEMAN
01/11/1975,West Hill,Ontario,M1C,,1990 VO3 STRIPE  1989 VO3 BOOMER
03/11/1975,Mississauga,Ontario,L5N,,1989 VO1 SQUFF
03/11/1975,,Quebec,J8T 4S3,,1991 VO4 MOOSE  1990 VO2 DRAGTMAN  1990 VO3 SHORTY  1989 RA2 DISNEY  1989 RA3 MICRO
07/11/1975,Pickering,Ontario,L1V,,1989 RA2 MICRO
08/11/1975,Unionville,Ontario,L3R,,1989 VO2 CHOPPER; BOOMER
09/11/1975,Woodstock,Ontario,N4S,,1989 VO3 JORDAN
15/11/1975,Toronto,Ontario,M6M,,1989 VO1 DURA
16/11/1975,Mississauga,Ontario,L5H,,1990 VO4 SQUFF
19/11/1975,Orangeville,Ontario,L9W,,1989 VO1 HOOPS
20/11/1975,Burlington,Ontario,L7H,,1990 VO3 OLERUD  1989 VO3 HOOPS
22/11/1975,Agincourt,Ontario,M1S,,1990 VO2 BINO;PEPPER  1989 VO1 SKINNER
22/11/1975,Grimsby,Ontario,L3M,,1990 VO1 MAVERICK  1989 RA1 HIGHLANDER
25/11/1975,,,,England,1990 VO3 SHORTY
28/11/1975,Unionville,Ontario,L3R,,1991 VO2 TRUMP  1990 VO2 OLERUD  1989 VO2 SURF;BUFF
29/11/1975,Windsor,Ontario,N9G,,1989 VO2 SKINNER
01/12/1975,Milton,Ontario,L9T,,1989 VO1 DURA
02/12/1975,Burlington,Ontario,L7T,,1990 VO2 BINO;PEPPER
04/12/1975,Toronto,Ontario,M4G,,1989 VO3 SKINNER
05/12/1975,Aurora,Ontario,L4G,,1991 VO3 CALI  1990 RA3 POLO  1989 RA2 DOC
05/12/1975,Barrie,Ontario,L4N,,1989 RA2 GNORT
10/12/1975,Powasson,Ontario,P0H,,1991 VO1 STANG  1990 VO1 BOOMER  1989 RA1 MICRO
11/12/1975,St. Catherines,Ontario,L2M,,1990 VO1 DIGGER  1990 RA2 WOODSTOCK  1989 RA1 PROF
14/12/1975,Campbellville,Ontario,L0P,,1989 VO3 BUFF
18/12/1975,London,Ontario,N6E,,1991 VO1 STANG  1991 VO2 TRUMP  1990 VO2 SQUFF;BOZ  1989 RA2 WOODSTOCK; STRIPE
21/12/1975,North Bay,Ontario,P1B,,1989 VO3 JORDAN
22/12/1975,Cambridge,Ontario,N1S,,1990 VO2 BOOMER
23/12/1975,Brantford,Ontario,N3T,,1990 VO4 SQUFF
23/12/1975,Listowel,Ontario,N4W,,1990 VO3 FISH  1989 RA3 HIGHLANDER
23/12/1975,Unionville,Ontario,L3R,,1989 RA3 DOC
25/12/1975,Pickering,Ontario,L1W,,1990 VO4 GILLIGAN
26/12/1975,Whitby,Ontario,L1N,,1990 VO2 DISNEY  1989 RA2 MICRO
30/12/1975,,,,France,1990 RA2 BAM-BAM  1990 RA3 STAFFORD
31/12/1975,London,Ontario,N6H,,1989 WO1 FLIP; FLOP
02/01/1976,Toronto,Ontario,M4N,,1991 VO3 CONRAD  1990 VO1 FISH  1989 RA3 MICRO
03/01/1976,,,,The Netherlands,1990 VO1 SQUIRE
06/01/1976,Milton,Ontario,L9T,,1990 RA1 STAFFORD
07/01/1976,Mississauga,Ontario,L5M,,1989 RA1 BLAZE
08/01/1976,Toronto,Ontario,M5M,,1990 VO2 DISNEY  1989 RA3 GIPPER
09/01/1976,Alliston,Ontario,L0M,,1991 VO3 SPARKY  1990 VO3 OLERUD  1989 RA1 HIGHLANDER
13/01/1976,Fergus,Ontario,N1M,,1989 RA2 ICEMAN
13/01/1976,Fonthill,Ontario,L0S,,1990 VO1 SQUFF
14/01/1976,Richmond Hill,Ontario,L4C,,1990 RA1 TIGGER  1989 RA1 MICRO
20/01/1976,Owen Sound,Ontario,N4K,,1990 VO2 GILLIGAN
20/01/1976,Toronto,Ontario,M4W,,1989 RA2 WOODSTOCK; STRIPE
23/01/1976,Mount Albert,Ontario,L0G,,1990 VO4 SQUFF
24/01/1976,Aurora,Ontario,L4G,,1989 RA3 DOUBLE ROCK
27/01/1976,Scarborough,Ontario,M1S,,1990 VO3 FISH  1989 RA3 GNORT
29/01/1976,Ottawa,Ontario,K1M,,1990 VO1 DIGGER
31/01/1976,,,,Bermuda,1989 RA2 HIGHLANDER
05/02/1976,Islington,Ontario,M9A,,1990 VO3 BOOMER
06/02/1976,Greely,Ontario,K0A,,1989 RA3 GIPPER
07/02/1976,Owen Sound,Ontario,N4K,,1990 VO3 BINO  1989 RA2 HIGHLANDER
12/02/1976,Mississauga,Ontario,L5L,,1990 VO3 FISH  1989 RA3 HIGHLANDER
16/02/1976,,Quebec,H3Z 2S4,,1991 VO1 LOBY
17/02/1976,Kanata,Ontario,K2L,,1989 RA3 GIPPER
17/02/1976,,Quebec,H3S 1G1,,1990 RA3 STAFFORD
21/02/1976,Toronto,Ontario,M4V,,1989 RA3 GNORT
07/03/1976,Kitchener,Ontario,N2H,,1995 FR3 FRIDAY  1994 FR4 MALPH
11/03/1976,Mississauga,Ontario,L5L,,1989 RA1 PROF
13/03/1976,Mississauga,Ontario,L5L,,1990 VO1 SQUIRE  1989 RA1 BLAZE
15/03/1976,Hamilton,Ontario,L8W,,1991 VO3 SPEEDO  1990 VO4 BADGER
15/03/1976,,,,Italy,1989 RA2 BLAZE
18/03/1976,Guelph,Ontario,N1H,,1990 VO3 BINO  1989 RA1 MAESTRO
18/03/1976,King City,Ontario,L0G,,1991 VO3 BUFF  1990 RA1 TIGGER  1989 RA1 MICRO
18/03/1976,Waterloo,Ontario,N2L,,1990 VO2 HOLLYWOOD
21/03/1976,Wellandport,Ontario,L0R,,1991 VO1 STANG  1990 RA3 SCHNEIDER
24/03/1976,Washago,Ontario,L0K,,1990 RA2 WOODSTOCK
27/03/1976,Uxbridge,Ontario,L0C,,1990 VO2 DISNEY  1989 RA2 HIGHLANDER
07/04/1976,Scarborough,Ontario,M1W,,1991 VO2 WOODSTOCK
08/04/1976,Scarborough,Ontario,M1B,,1990 VO4 BADGER  1989 RA3 DOUBLE ROCK
08/04/1976,Toronto,Ontario,M4J,,1991 WC12 WOODLAND  1990 VO1 SQUIRE  1990 VO2 FISH;SPEEDO  1989 RA1 MAVERICK
13/04/1976,Aurora,Ontario,L4G,,1989 RA3 DOUBLE ROCK
15/04/1976,Pickering,Ontario,L1V,,1989 RA2 MICRO
23/04/1976,,Massachusetts,,United States,1990 VO1 SQUFF  1989 RA1 MAVERICK
25/04/1976,Newmarket,Ontario,L3Y,,1991 VO1 MOOSE  1990 VO2 SQUFF;BOZ  1989 RA1 PROF
26/04/1976,Milton,Ontario,L9T,,1991 VO2 TRUMP  1990 VO2 OLERUD  1989 RA3 TORCH
29/04/1976,Unionville,Ontario,L3R,,1990 VO3 DRAGTMAN  1989 RA2 ICEMAN
30/04/1976,Mississauga,Ontario,L5N,,1992 VO3 BOOK  1991 VO3 SPEEDO  1990 VO2 BINO;PEPPER  1989 RA3 MICRO
07/05/1976,Stouffville,Ontario,L4R,,1989 RA2 GNORT
12/05/1976,Islington,Ontario,M9B,,1989 RA3 DOUBLE ROCK
12/05/1976,Mississauga,Ontario,L5L,,1990 VO2 HOLLYWOOD  1989 RA2 WOODSTOCK; STRIPE
13/05/1976,Newmarket,Ontario,L3Y,,1991 VO2 LOBY  1990 VO2 DISNEY  1989 RA2 BLAZE
24/05/1976,Owen Sound,Ontario,N4K,,1990 VO1 BINO  1989 RA3 HIGHLANDER
27/05/1976,Hornepayne,Ontario,P0M,,1989 RA3 DOUBLE ROCK
27/05/1976,Kingston,Ontario,K7L,,1990 VO2 SQUFF;BOZ  1989 RA3 GNORT
30/05/1976,Sudbury,Ontario,P3E,,1989 RA2 MICRO
31/05/1976,Don Mills,Ontario,M3A,,1989 RA2 DISNEY
05/06/1976,Orangeville,Ontario,L9W,,1989 RA1 MAVERICK
05/06/1976,Ottawa,Ontario,K1M,,1991 WC12 WOODLAND  1990 VO1 BINO  1989 RA1 HIGHLANDER
08/06/1976,Scarborough,Ontario,M1B,,1990 VO1 SQUFF
08/06/1976,Waterloo,Ontario,N2L,,1991 WC12 WOODLAND  1990 VO2 HOLLYWOOD
10/06/1976,Guelph,Ontario,N1H,,1991 VO1 TRUMP
10/06/1976,Milton,Ontario,L9T,,1992 VO1 SPLINTER  1991 VO1 GILLIGAN  1990 VO1 DIGGER  1989 RA1 ICEMAN
11/06/1976,Newmarket,Ontario,L3X,,1991 VO1 WOODSTOCK  1990 VO1 GILLIGAN  1989 RA1 BLAZE
15/06/1976,Scarborough,Ontario,M1T,,1990 VO3 SHORTY
25/06/1976,Willowdale,Ontario,M2N,,1991 VO1 LOBY
25/06/1976,,Quebec,H9A 1X1,,1990 VO1 MAVERICK  1989 RA1 MAVERICK
26/06/1976,Stratford,Ontario,N5A,,1991 WC12  1991 VO3 BEAR  1990 VO2 DISNEY  1990 VO3 SQUFF  1989 RA2 WOODSTOCK;  1989 VO3 SQUFF
